This file was created by CMPT_EP_CFP_OP_INV_NI_AC_RETS using the 201612 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on NI.

The portfolios are constructed at the end of June. NI (net stock issues), the change in the natural 
log of the split-adjusted shares outstanding from the fiscal year-end in t-2 to t-1.

Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Value Weighted Returns -- Monthly
,< 0 ,ZERO,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
196307,    0.52,    0.25,   -0.34,    0.38,   -0.46,    0.18,   -0.35,   -0.97,    0.60,    1.39,   -1.34,   -1.05,    0.32,   -0.50,    0.34,   -1.30,    1.17
196308,    5.52,    4.16,    4.89,    6.32,    5.96,    4.92,    6.51,    5.07,    4.63,    5.82,    7.17,    5.38,    6.71,    6.85,    4.47,    6.63,    6.33
196309,   -2.04,   -2.36,   -1.67,    0.03,   -1.07,   -0.28,   -2.04,   -0.69,   -3.10,   -0.87,    1.58,    0.95,   -3.72,   -1.86,    0.09,   -1.97,   -2.15
196310,    0.41,    1.33,    2.71,    6.07,    5.34,    2.82,    0.99,    1.74,    4.15,    8.48,    2.01,    5.79,    4.72,    2.82,    2.82,    0.35,    1.99
196311,   -0.86,   -0.81,    0.26,   -3.27,   -1.25,    2.67,   -1.04,    0.17,    0.40,   -4.83,   -0.48,   -1.66,   -0.67,   -0.88,    3.49,   -1.16,   -0.87
196312,    2.73,    2.98,    2.71,    1.10,    3.00,    1.80,    1.28,    1.31,    4.74,    1.68,    0.11,    2.64,    3.50,    2.94,    1.55,    1.68,    0.67
196401,    2.75,    2.35,    4.22,    2.27,    2.47,    3.02,    0.11,    2.95,    6.02,    1.55,    3.52,    3.63,    0.88,    3.03,    3.02,   -0.25,    0.65
196402,    2.33,    2.63,    2.07,    1.40,    2.66,    0.42,    0.99,    2.55,    1.40,    0.77,    2.46,    4.11,    0.62,    0.59,    0.38,    0.78,    1.30
196403,    2.69,    2.73,    1.87,    1.16,    2.79,    0.06,    0.97,    1.80,    1.97,    1.19,    1.10,    3.14,    2.28,    1.01,   -0.16,   -0.22,    2.80
196404,    0.63,    0.59,    0.43,    1.74,   -2.20,    1.36,    0.64,   -0.46,    1.67,    3.24,   -0.76,   -2.27,   -2.11,    0.04,    1.66,    1.15,   -0.11
196405,    1.73,    1.92,    1.09,    2.50,    2.44,    0.51,    0.66,    0.48,    1.91,    3.29,    1.14,    3.72,    0.56,   -0.01,    0.63,    0.45,    0.99
196406,    1.44,    1.34,    0.80,    1.87,    0.65,    3.75,    1.23,    0.87,    0.70,    1.47,    2.56,    0.80,    0.41,    1.22,    4.32,    1.94,    0.16
196407,    1.82,    3.09,    2.33,    4.22,   -0.61,    2.69,    0.61,    2.44,    2.02,    3.11,    4.93,   -0.95,   -0.43,    2.49,    2.86,    0.08,    1.44
196408,   -1.99,   -0.96,   -1.07,    0.24,   -2.17,   -0.51,   -1.56,   -1.01,   -1.23,   -0.72,    0.85,   -3.56,   -1.39,   -1.35,    0.23,   -1.71,   -1.33
196409,    3.02,    3.18,    3.58,    3.61,    0.84,    3.77,    4.47,    3.59,    3.56,    3.48,    3.69,    1.41,    0.53,    3.52,    3.99,    5.64,    2.67
196410,    3.43,    0.22,    0.79,    0.61,   -1.05,    1.71,    0.10,    0.54,    1.49,    1.46,    0.08,   -1.64,   -0.73,    2.56,    0.97,   -1.06,    1.95
196411,    1.91,    0.30,    1.45,   -0.29,   -0.67,    0.33,   -0.18,    1.77,    0.59,    2.25,   -1.89,   -0.44,   -0.80,   -0.07,    0.69,   -0.79,    0.77
196412,   -0.49,   -1.05,    0.45,    1.08,    2.06,   -0.56,    0.51,    0.88,   -0.73,   -0.19,    1.92,   -0.13,    3.26,   -1.58,    0.33,    0.63,    0.34
196501,    1.93,    4.11,    4.69,    3.08,    3.51,    5.30,    5.68,    4.56,    5.06,    2.94,    3.18,    7.96,    1.16,    6.34,    4.41,    5.54,    5.89
196502,   -0.85,    1.46,    0.87,   -0.07,    1.45,    0.49,    3.14,    0.21,    2.68,    1.35,   -0.99,    2.22,    1.02,    1.09,   -0.03,    2.97,    3.39
196503,   -2.27,   -0.38,   -2.08,   -0.52,   -0.72,   -0.76,   -1.37,   -2.46,   -1.04,   -2.49,    0.79,   -0.26,   -0.99,    0.46,   -1.83,   -2.18,   -0.16
196504,    1.98,    1.72,    2.08,    6.06,    4.24,    3.42,    3.41,    1.23,    4.33,    6.17,    6.00,    5.33,    3.61,    3.81,    3.07,    3.59,    3.14
196505,    0.03,   -0.55,    0.45,   -2.01,    0.92,   -0.70,    1.03,    0.72,   -0.26,   -0.77,   -2.81,   -1.07,    2.09,   -1.27,   -0.18,    1.68,    0.08
196506,   -3.10,   -5.32,   -5.03,   -5.43,   -4.78,   -5.23,   -6.48,   -4.77,   -5.71,   -4.20,   -6.24,   -5.00,   -4.65,   -4.64,   -5.76,   -5.56,   -7.87
196507,    2.26,    2.42,    1.63,    0.25,    3.81,    2.08,    0.53,    0.82,    2.72,    0.27,    0.23,    4.10,    3.62,    2.99,    0.90,    0.12,    1.92
196508,    4.12,    3.88,    3.17,    1.72,    4.84,    2.89,    1.99,    2.26,    4.36,    1.20,    2.89,    4.70,    4.93,    2.59,    3.30,    1.21,    4.59
196509,    3.50,    2.25,    2.38,    4.16,    4.33,    4.74,    1.71,    2.52,    2.20,    5.34,    1.54,    6.67,    2.85,    5.15,    4.21,    1.18,    3.43
196510,    2.95,    3.64,    3.14,    4.00,    3.13,    2.27,    0.70,    3.38,    2.83,    4.39,    3.10,    2.74,    3.38,    1.98,    2.66,   -0.42,    4.20
196511,    2.42,   -0.12,   -0.32,   -0.59,    1.14,    1.92,   -1.78,   -0.97,    0.54,   -1.99,    2.72,    0.01,    1.88,    1.25,    2.80,   -2.96,    1.75
196512,    1.10,    3.01,    1.87,    0.33,    0.23,    2.16,    0.31,    2.12,    1.55,    0.50,   -0.05,    2.99,   -1.53,    1.61,    2.88,   -0.19,    1.74
196601,    2.20,    1.28,    1.39,   -0.55,    1.68,    1.37,   -0.41,    0.34,    2.74,    0.13,   -2.05,    1.66,    1.69,    0.78,    2.14,   -1.04,    1.37
196602,   -1.13,   -2.30,   -1.87,   -2.01,    0.88,   -0.61,    0.28,   -1.72,   -2.06,   -2.82,   -0.14,   -1.95,    2.76,    0.65,   -2.22,   -0.19,    1.55
