This file was created by CMPT_VAR_RETS using the 201612 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on VAR.

The portfolios are constructed at the end of each month.

The residual return variance is measured over 60 days up to formation monthend requiring at least 20 non-missing daily returns.  
Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Value Weighted Returns -- Monthly
,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
196803,    0.62,   -0.09,    1.00,    2.30,   -0.45,    1.13,   -0.54,   -0.78,    0.80,    1.58,    0.23,    1.83,    2.87,    1.83,   -2.27
196804,    7.25,    9.93,   10.39,   13.49,   17.08,    6.83,    8.62,   10.06,    9.76,   10.02,   10.84,   13.67,   13.32,   17.27,   16.91
196805,    0.95,    3.07,    3.88,    4.89,    8.78,    0.90,    1.09,    3.33,    2.64,    4.18,    3.63,    4.82,    4.99,    8.02,    9.52
196806,    1.76,    1.18,    1.03,   -0.09,   -1.59,    1.43,    2.57,    0.82,    1.69,    1.17,    0.86,   -0.36,    0.36,   -0.98,   -2.12
196807,   -1.00,   -2.66,   -3.09,   -6.43,   -4.61,   -0.61,   -1.79,   -3.08,   -2.14,   -2.68,   -3.44,   -6.78,   -6.06,   -5.48,   -3.92
196808,    1.17,    2.10,    3.15,    1.93,    3.06,    1.41,    0.90,    1.97,    2.29,    3.98,    2.24,    2.21,    1.62,    2.68,    3.28
196809,    2.86,    4.51,    5.33,    7.01,    9.68,    3.31,    2.30,    5.01,    3.79,    5.22,    5.43,    6.68,    7.35,    8.13,   10.85
196810,    1.10,    1.52,    1.88,    0.12,   -2.40,    1.28,    0.76,    0.92,    2.26,    2.80,    0.71,    0.08,    0.18,   -2.16,   -2.57
196811,    4.37,    6.53,    7.41,    8.16,    9.33,    4.32,    4.46,    7.01,    5.94,    7.26,    7.56,    7.88,    8.48,    9.42,    9.26
196812,   -4.55,   -2.87,   -3.16,   -2.48,   -0.86,   -4.65,   -4.31,   -2.53,   -3.32,   -3.34,   -2.92,   -2.76,   -2.20,   -2.37,    0.45
196901,   -0.78,    0.17,   -0.68,   -1.71,   -2.42,   -1.02,   -0.05,    0.31,    0.01,    0.29,   -1.63,   -1.11,   -2.32,   -3.41,   -1.57
196902,   -2.99,   -5.82,   -7.19,   -8.10,  -10.87,   -2.32,   -4.87,   -5.80,   -5.85,   -6.60,   -7.89,   -6.89,   -9.44,  -10.86,  -10.88
196903,    3.44,    3.33,    3.05,    2.12,    1.91,    3.38,    3.55,    3.40,    3.25,    3.03,    3.07,    1.28,    3.05,    2.53,    1.30
196904,    2.51,    1.65,    1.06,    1.81,    1.68,    2.76,    1.95,    1.43,    1.93,    0.75,    1.44,    1.33,    2.34,    1.98,    1.39
196905,    0.73,    0.38,   -0.72,    0.24,   -0.12,    0.49,    1.31,    0.72,    0.03,   -0.66,   -0.77,    1.68,   -2.36,    0.27,   -0.52
196906,   -3.69,   -6.81,   -8.90,  -10.59,  -14.50,   -3.21,   -4.76,   -6.94,   -6.68,   -8.07,   -9.86,  -10.06,  -11.40,  -12.60,  -16.09
196907,   -4.98,   -6.74,   -7.38,   -8.43,  -11.42,   -5.30,   -4.07,   -6.07,   -7.33,   -7.02,   -7.86,   -7.08,  -10.38,  -11.00,  -11.77
196908,    3.78,    5.11,    7.05,    7.32,    8.00,    3.68,    4.08,    5.64,    4.60,    7.15,    6.91,    6.58,    8.18,    7.64,    8.32
196909,   -2.51,   -1.11,   -3.70,   -3.04,   -2.47,   -2.60,   -2.17,   -1.41,   -0.60,   -3.58,   -3.83,   -4.51,   -0.54,   -1.97,   -2.91
196910,    4.93,    4.93,    5.69,    8.81,    7.70,    3.75,    7.33,    6.15,    3.81,    4.41,    7.77,    9.55,    8.03,    7.61,    7.79
196911,   -2.76,   -3.27,   -3.27,   -4.62,   -5.86,   -2.56,   -3.29,   -3.36,   -3.15,   -2.54,   -4.20,   -3.75,   -5.38,   -4.33,   -7.37
196912,   -0.70,   -2.43,   -2.09,   -3.55,   -6.47,   -0.64,   -0.86,   -2.71,   -2.06,   -2.66,   -1.16,   -3.60,   -3.47,   -3.93,   -8.66
197001,   -6.24,   -7.60,   -9.12,  -10.64,   -9.64,   -6.26,   -6.19,   -6.68,   -8.69,   -8.23,   -9.88,  -10.49,  -10.81,  -10.24,   -9.12
197002,    5.34,    6.08,    7.05,    6.95,    2.63,    5.40,    5.20,    7.13,    4.90,    7.25,    6.85,    7.12,    6.67,    4.12,    1.21
197003,    0.31,    0.64,   -1.10,   -2.59,   -5.18,    1.35,   -2.28,    1.62,   -0.92,   -0.18,   -2.25,   -2.13,   -3.16,   -4.58,   -5.80
197004,   -8.18,   -9.16,  -13.10,  -14.36,  -19.97,   -8.24,   -8.02,   -8.50,   -9.92,  -11.94,  -14.83,  -13.01,  -16.27,  -17.28,  -22.45
197005,   -5.51,   -5.60,   -7.18,   -8.66,  -12.01,   -5.63,   -5.21,   -5.62,   -5.58,   -7.98,   -6.38,   -7.48,   -9.95,  -11.03,  -13.10
197006,   -4.22,   -4.37,   -5.46,   -9.19,  -11.95,   -4.52,   -3.47,   -2.88,   -6.33,   -3.94,   -7.22,   -8.53,   -9.81,  -11.99,  -11.93
197007,    7.27,    7.20,    9.54,    6.97,    6.63,    7.52,    6.50,    5.68,    8.98,   10.67,    8.18,    6.53,    7.73,    9.55,    3.64
197008,    4.35,    3.94,    6.29,    8.07,    9.66,    4.54,    3.83,    3.38,    4.63,    4.92,    8.18,    6.35,   10.06,   11.01,    8.30
197009,    2.29,    4.37,    7.05,   10.19,   17.87,    1.82,    3.54,    3.60,    5.37,    6.28,    8.04,    9.63,   10.87,   15.47,   20.57
197010,   -0.43,   -0.87,   -3.33,   -6.25,  -10.12,   -0.56,   -0.06,   -0.15,   -1.56,   -2.90,   -3.87,   -4.56,   -8.48,   -8.62,  -11.74
197011,    5.99,    4.59,    4.78,    3.76,   -0.98,    6.30,    5.08,    4.32,    4.94,    4.65,    4.94,    3.78,    3.73,    0.58,   -2.53
197012,    5.36,    7.28,    6.74,    8.70,    6.38,    5.46,    5.08,    6.66,    8.00,    6.71,    6.79,    7.63,   10.52,    9.02,    3.58
197101,    3.45,    6.02,    6.91,   11.45,   13.24,    2.94,    5.09,    5.79,    6.21,    5.76,    8.13,   10.21,   13.14,   11.63,   15.04
197102,    1.11,    1.92,    2.78,    2.96,    4.13,    1.00,    1.43,    1.84,    2.02,    1.79,    4.22,    3.23,    2.62,    3.24,    5.01
197103,    4.20,    3.56,    5.77,    5.58,    6.04,    4.20,    4.20,    3.31,    3.92,    5.77,    5.78,    4.84,    6.82,    6.19,    5.88
197104,    3.19,    2.82,    4.93,    5.50,    3.33,    2.69,    4.68,    2.01,    3.86,    4.56,    5.33,    4.89,    6.34,    3.07,    3.58
197105,   -3.96,   -2.77,   -2.61,   -4.52,   -5.66,   -4.22,   -3.09,   -2.95,   -2.55,   -2.99,   -1.97,   -3.93,   -5.39,   -5.18,   -6.14
197106,    0.80,    0.98,    0.22,   -1.52,   -3.84,    0.43,    1.74,    0.48,    1.77,    0.76,   -0.47,   -1.29,   -1.79,   -3.80,   -3.88
197107,   -3.31,   -3.73,   -4.24,   -6.55,   -9.00,   -3.30,   -3.33,   -3.15,   -4.56,   -4.06,   -4.50,   -6.50,   -6.63,   -8.28,   -9.75
197108,    3.87,    3.66,    4.83,    6.71,    5.98,    3.95,    3.72,    4.17,    3.00,    3.98,    5.66,    7.01,    6.28,    8.29,    3.98
197109,    0.25,   -1.19,   -0.69,   -1.60,   -1.32,    0.68,   -0.88,   -1.82,   -0.43,   -0.54,   -0.91,   -1.97,   -1.00,    0.14,   -2.61
197110,   -2.57,   -3.87,   -5.79,   -7.13,   -7.83,   -1.62,   -4.60,   -3.43,   -4.80,   -5.44,   -6.42,   -6.92,   -7.39,   -6.07,   -9.45
197111,    0.75,   -0.09,   -0.67,   -1.45,   -4.19,    0.96,    0.36,   -0.06,   -0.14,    0.37,   -2.49,   -0.46,   -2.92,   -4.28,   -4.11
197112,    8.30,    8.60,    9.51,   12.35,   13.72,    7.98,    9.29,    8.93,    8.17,    9.38,    9.69,   11.44,   13.63,   13.80,   13.66
197201,    1.89,    1.03,    4.45,    5.42,   10.37,    2.41,    0.86,    0.47,    1.78,    2.97,    6.22,    4.03,    7.15,    8.62,   12.38
197202,    2.59,    3.14,    3.87,    4.46,    4.08,    1.50,    4.70,    2.29,    4.41,    4.70,    3.11,    4.70,    4.15,    4.18,    3.98
197203,    1.57,    0.42,   -0.01,   -0.21,   -0.87,    1.82,    0.97,    0.52,    0.28,   -0.77,    0.95,   -0.07,   -0.36,   -0.98,   -0.76
197204,    0.11,    1.51,    0.73,    1.56,   -0.77,   -0.36,    1.11,    2.09,    0.44,    0.88,    0.46,   -0.16,    3.04,    0.69,   -2.19
197205,    2.30,    1.82,    0.65,    0.45,   -1.49,    2.42,    2.00,    2.78,    0.49,    0.93,    0.05,    0.82,    0.05,   -0.15,   -2.75
197206,   -1.42,   -1.73,   -3.44,   -4.94,   -3.34,   -1.13,   -2.18,   -1.36,   -2.13,   -3.72,   -3.09,   -5.37,   -4.47,   -3.62,   -3.05
197207,    1.21,   -0.54,   -2.43,   -4.83,   -5.70,    1.40,    0.76,   -0.84,   -0.19,   -2.26,   -2.65,   -4.85,   -4.79,   -3.70,   -7.79
197208,    3.68,    4.38,    3.69,    3.27,    0.02,    3.37,    4.51,    4.66,    3.98,    3.66,    3.73,    3.78,    2.58,    1.29,   -1.24
197209,    0.26,   -0.75,   -1.21,   -3.02,   -5.06,   -0.02,    0.73,    0.03,   -1.59,   -1.11,   -1.38,   -3.09,   -2.92,   -4.34,   -5.86
197210,    1.27,    1.42,    0.79,    0.39,   -3.08,   -0.22,    3.34,    1.44,    1.40,    1.36,    0.03,    1.74,   -1.27,   -1.44,   -4.68
197211,    4.00,    6.04,    6.87,    5.35,    5.65,    4.27,    3.41,    6.26,    5.82,    6.23,    8.12,    4.54,    6.19,    6.99,    4.34
197212,    2.02,    0.87,   -0.10,   -2.04,   -2.35,    2.45,    1.09,    1.36,    0.17,   -0.22,    0.06,   -1.58,   -2.44,   -1.05,   -3.67
197301,   -0.28,   -3.97,   -6.30,   -7.19,   -9.56,    0.66,   -2.26,   -2.94,   -5.66,   -6.74,   -5.67,   -6.14,   -8.36,   -8.34,  -10.94
197302,   -3.12,   -4.22,   -5.73,   -6.72,  -10.00,   -3.09,   -3.18,   -3.19,   -5.57,   -5.17,   -6.50,   -7.37,   -6.14,   -9.26,  -10.79
197303,   -0.45,   -0.44,   -1.16,   -1.19,   -2.82,   -0.25,   -0.97,    0.70,   -1.73,   -1.41,   -0.85,   -0.51,   -2.18,   -1.96,   -3.97
197304,   -3.28,   -5.14,   -7.71,   -8.22,  -10.93,   -2.84,   -4.31,   -5.12,   -5.17,   -8.02,   -7.38,   -6.48,  -10.38,   -9.95,  -11.65
197305,   -0.78,   -2.85,   -2.53,   -5.70,  -10.36,   -1.30,    0.23,   -2.57,   -3.16,   -2.05,   -3.05,   -5.23,   -6.14,   -9.82,  -10.79
197306,    0.06,   -1.29,   -2.70,   -3.42,   -4.72,   -0.29,    0.67,   -0.83,   -2.06,   -3.73,   -1.15,   -3.13,   -3.74,   -5.64,   -3.78
197307,    2.15,    5.69,   12.37,   13.57,   17.89,    1.46,    3.83,    4.12,    7.80,   12.84,   11.71,   13.27,   13.98,   16.81,   19.02
197308,   -3.46,   -2.79,   -2.30,   -1.79,   -6.24,   -3.90,   -2.16,   -3.14,   -2.20,   -0.36,   -4.60,   -1.01,   -2.79,   -4.00,   -8.79
197309,    2.52,    7.90,    7.96,    9.56,   11.35,    1.62,    5.22,    6.56,   10.16,    7.01,    9.40,    9.84,    9.17,   12.41,   10.34
197310,   -0.37,    1.64,   -1.89,   -1.42,   -3.44,   -0.64,    0.20,    2.51,    0.09,   -1.42,   -2.55,    0.40,   -3.87,   -3.61,   -3.30
197311,   -9.77,  -11.65,  -14.58,  -18.25,  -21.46,   -9.87,   -9.57,  -12.25,  -11.09,  -14.06,  -15.45,  -18.27,  -18.23,  -22.31,  -20.65
197312,    1.57,    1.97,    0.22,   -1.38,   -1.87,    1.06,    2.77,    1.80,    2.27,    0.64,   -0.49,   -0.16,   -3.08,   -0.89,   -2.86
197401,   -0.43,   -1.11,    1.91,    4.67,    9.73,   -0.49,   -0.28,   -1.99,    0.20,    0.39,    3.52,    0.84,   10.21,    6.90,   12.71
197402,    0.13,   -0.09,    0.11,    0.78,   -0.42,   -0.36,    1.24,    0.51,   -0.87,    0.04,    0.20,    0.10,    1.54,   -0.26,   -0.59
197403,   -2.11,   -2.73,   -1.45,   -3.45,   -3.37,   -1.96,   -2.44,   -2.64,   -2.86,   -1.49,   -1.38,   -4.59,   -1.90,   -5.19,   -0.90
197404,   -4.18,   -4.46,   -4.75,   -6.31,   -7.42,   -4.18,   -4.19,   -4.24,   -4.77,   -3.89,   -5.98,   -5.59,   -7.37,   -6.38,   -8.65
197405,   -2.63,   -4.39,   -5.27,   -5.91,   -9.52,   -1.77,   -5.08,   -4.98,   -3.59,   -4.50,   -6.44,   -4.01,   -8.64,   -9.55,   -9.47
197406,   -1.47,   -1.84,   -3.95,   -3.94,   -5.98,   -0.83,   -3.57,   -0.41,   -3.70,   -4.32,   -3.59,   -2.61,   -6.00,   -4.88,   -7.07
197407,   -7.88,   -7.79,   -6.07,   -4.98,   -6.28,   -8.60,   -5.51,   -8.62,   -6.46,   -6.32,   -5.71,   -5.30,   -4.65,   -7.46,   -4.30
197408,   -8.02,  -10.39,   -8.72,   -9.68,  -10.47,   -7.58,   -9.26,   -9.70,  -11.40,   -9.34,   -8.09,  -10.09,   -9.12,  -10.12,  -10.94
197409,  -11.19,   -9.99,   -8.95,  -12.36,  -11.82,  -10.97,  -11.76,  -11.20,   -8.45,   -9.09,   -8.83,  -13.28,  -11.14,  -11.04,  -12.67
197410,   14.91,   18.52,   19.06,   20.42,   17.11,   13.71,   17.81,   17.88,   19.16,   16.45,   22.04,   20.81,   19.79,   18.19,   15.47
197411,   -4.41,   -4.28,   -1.37,   -4.13,   -6.36,   -4.82,   -3.57,   -5.57,   -2.80,   -1.42,   -1.29,   -4.15,   -4.10,   -5.67,   -7.42
197412,   -0.88,   -3.98,   -4.80,   -4.38,   -8.55,   -1.16,   -0.44,   -3.97,   -4.00,   -4.47,   -5.17,   -4.06,   -4.68,   -5.80,  -12.30
197501,   10.90,   16.63,   15.23,   21.62,   29.31,   10.04,   12.23,   14.13,   20.75,   12.71,   17.80,   21.20,   22.08,   27.84,   31.37
197502,    6.08,    5.57,    6.12,    6.48,    5.67,    3.65,    9.02,    4.90,    6.60,    4.65,    8.20,    4.82,    8.82,    7.56,    2.74
197503,    1.58,    2.84,    5.81,    6.91,   10.22,    1.47,    1.71,    3.01,    2.57,    5.77,    5.85,    6.81,    7.06,    9.73,   11.10
197504,    4.37,    4.31,    5.31,    6.34,    4.16,    4.00,    5.00,    3.98,    5.01,    6.27,    3.75,    6.16,    6.55,    6.15,    1.36
197505,    4.71,    6.27,    6.29,    8.37,    8.93,    4.44,    5.21,    5.68,    7.10,    4.49,    8.38,    8.31,    8.45,    8.46,    9.65
197506,    4.59,    6.11,    6.22,    6.00,    6.79,    4.21,    5.43,    5.57,    6.73,    5.81,    6.87,    5.31,    7.04,    7.06,    6.42
197507,   -6.06,   -6.22,   -6.62,   -5.70,   -5.66,   -6.11,   -5.92,   -6.10,   -6.41,   -7.49,   -5.27,   -6.01,   -5.34,   -6.32,   -4.80
197508,   -1.87,   -2.00,   -3.32,   -4.23,   -6.75,   -1.85,   -1.92,   -1.51,   -2.64,   -2.86,   -4.07,   -3.92,   -4.60,   -6.07,   -7.55
197509,   -3.03,   -4.43,   -4.19,   -4.75,   -5.94,   -3.05,   -2.97,   -3.54,   -5.53,   -4.31,   -3.99,   -4.42,   -5.23,   -5.59,   -6.35
197510,    6.12,    6.23,    6.07,    5.21,    0.87,    6.80,    4.54,    6.89,    5.38,    6.05,    6.11,    5.80,    4.45,    1.89,   -0.55
197511,    3.15,    2.66,    3.21,    4.49,    1.61,    3.30,    2.73,    2.39,    2.99,    2.97,    3.52,    4.62,    4.33,    2.05,    1.05
197512,   -1.30,   -0.91,   -1.54,   -0.28,   -0.03,   -1.03,   -1.79,   -1.20,   -0.60,   -1.60,   -1.43,    0.18,   -0.84,   -0.74,    0.80
197601,   11.09,   12.15,   16.41,   16.34,   19.61,   10.34,   13.55,   10.30,   15.81,   15.86,   17.26,   15.24,   17.64,   18.44,   21.16
197602,   -0.58,    0.07,    2.26,    5.59,   10.43,   -0.63,   -0.46,   -1.05,    1.58,    2.38,    2.10,    4.50,    6.76,    7.77,   14.21
197603,    3.07,    1.71,    2.52,    2.15,    2.37,    3.05,    3.15,    1.90,    1.39,    2.48,    2.56,    2.21,    2.08,    3.51,    1.19
197604,   -0.38,   -1.69,   -1.70,   -2.86,   -3.03,   -0.50,   -0.08,   -2.00,   -1.02,   -0.78,   -2.74,   -3.89,   -1.68,   -2.48,   -3.53
197605,   -1.02,   -0.70,   -0.35,   -1.30,   -2.58,   -1.41,   -0.10,   -0.99,   -0.30,    0.18,   -1.07,   -2.11,   -0.21,   -1.31,   -3.79
197606,    4.02,    4.94,    5.88,    6.10,    4.62,    3.77,    4.71,    4.77,    5.17,    6.57,    5.11,    6.32,    5.75,    5.37,    3.79
197607,   -0.51,    0.12,   -1.39,   -1.32,   -1.42,   -0.62,   -0.22,   -0.80,    1.43,   -1.35,   -1.45,   -1.49,   -1.08,   -1.18,   -1.64
197608,    0.69,   -0.50,   -0.68,   -2.09,   -3.79,    0.76,    0.50,   -0.89,    0.05,   -0.74,   -0.61,   -1.69,   -2.63,   -3.62,   -4.02
